               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15823,            0.010574,            0.036481,           0.0010619,            0.094268,           0.0027357,           0.0005656,             0.15267,            0.013467,             0.03387,            0.070101,           0.0033221,           0.0033221
                   1,             0.12448,            0.011104,            0.016707,             0.57034,            0.033457,            0.018498,           0.0052971,             0.14931,            0.013662,            0.027546,            0.039969,           0.0065237,           0.0065237
                   2,             0.11972,           0.0097575,           0.0055003,              0.6003,            0.060948,            0.027593,           0.0070633,             0.14289,             0.01638,            0.028002,           0.0097051,           0.0095933,           0.0095933
                   3,             0.11044,            0.010387,            0.005223,             0.59967,            0.068012,            0.031586,           0.0076184,             0.13978,            0.018369,            0.026107,            0.009406,            0.009406,            0.009406
                   4,             0.10032,            0.010815,           0.0046315,               0.604,            0.057714,            0.030401,            0.007188,             0.13974,              0.0186,            0.026091,            0.009406,            0.009406,            0.009406
                   5,            0.092038,            0.010651,            0.004057,             0.61895,            0.070255,            0.041933,            0.010494,             0.13904,             0.01973,            0.026559,            0.009208,            0.009208,            0.009208
