               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14388,            0.021369,            0.034689,             0.32825,            0.060324,            0.028807,           0.0063042,             0.13421,            0.022066,            0.030875,            0.070101,           0.0033221,           0.0033221
                   1,             0.11552,            0.016084,            0.014071,             0.60887,              0.1109,            0.067133,            0.019588,             0.12387,            0.022425,            0.019435,            0.039969,           0.0065237,           0.0065237
                   2,             0.11152,            0.014114,           0.0051437,             0.64192,             0.12298,            0.087214,            0.023689,              0.1199,            0.023065,            0.018236,           0.0097051,           0.0095933,           0.0095933
                   3,             0.10325,            0.013691,           0.0045961,                0.69,              0.1623,             0.12393,            0.034422,             0.11345,            0.025046,            0.017788,            0.009406,            0.009406,            0.009406
                   4,            0.093079,            0.014113,           0.0039857,             0.64518,             0.14054,            0.091508,            0.026274,             0.10963,            0.027802,            0.017974,            0.009406,            0.009406,            0.009406
                   5,              0.0826,            0.014178,           0.0038381,              0.7233,             0.16103,             0.14821,            0.045362,              0.1057,             0.02892,            0.016899,            0.009208,            0.009208,            0.009208
                   6,            0.075822,            0.014106,           0.0036806,             0.68428,             0.15826,             0.11928,            0.037215,             0.10585,             0.02924,            0.016519,             0.00901,             0.00901,             0.00901
                   7,            0.071713,            0.013904,           0.0036231,              0.6314,             0.13334,            0.080004,            0.021497,             0.10739,            0.030556,            0.016811,            0.008812,            0.008812,            0.008812
                   8,            0.067868,            0.013891,           0.0033865,             0.70532,             0.17078,             0.13951,            0.039656,            0.099742,            0.031425,            0.016022,            0.008614,            0.008614,            0.008614
                   9,            0.065432,            0.013795,           0.0032204,             0.64497,             0.13781,            0.095477,            0.025041,             0.10633,            0.032907,            0.017448,            0.008416,            0.008416,            0.008416
                  10,            0.062003,            0.013711,           0.0028087,              0.7104,             0.14896,              0.1282,             0.03537,             0.10126,            0.030588,            0.016295,            0.008218,            0.008218,            0.008218
                  11,            0.059763,            0.013308,           0.0028033,              0.7205,             0.14931,             0.13302,            0.039751,             0.10253,            0.032358,            0.017025,             0.00802,             0.00802,             0.00802
                  12,            0.058198,            0.013141,           0.0027039,             0.66097,             0.12757,            0.096245,            0.026337,             0.10784,            0.031574,            0.017554,            0.007822,            0.007822,            0.007822
                  13,            0.055548,            0.012995,           0.0024872,             0.68466,             0.13529,             0.11163,            0.030746,             0.10479,            0.033763,            0.017301,            0.007624,            0.007624,            0.007624
                  14,            0.053439,            0.013349,           0.0027567,             0.68991,             0.15859,             0.12748,            0.034963,             0.10196,             0.03365,            0.016904,            0.007426,            0.007426,            0.007426
                  15,            0.053123,            0.012887,           0.0025305,             0.70366,             0.13899,             0.11871,            0.033717,             0.10095,            0.033329,            0.016195,            0.007228,            0.007228,            0.007228
                  16,            0.051595,            0.012838,           0.0024505,             0.66861,             0.13323,             0.10246,            0.026761,             0.10677,            0.032625,            0.016927,             0.00703,             0.00703,             0.00703
                  17,            0.049523,            0.012731,           0.0028156,             0.72866,             0.12509,             0.11994,            0.032034,             0.10457,            0.035395,             0.01802,            0.006832,            0.006832,            0.006832
                  18,            0.048055,            0.012764,           0.0023971,             0.67653,             0.14578,             0.11127,            0.030986,             0.10265,            0.034327,            0.017286,            0.006634,            0.006634,            0.006634
                  19,            0.046858,            0.012444,           0.0024337,             0.68908,             0.14423,             0.11605,            0.033685,             0.10444,            0.034473,            0.017493,            0.006436,            0.006436,            0.006436
                  20,            0.046077,            0.012617,           0.0023377,             0.71474,             0.14054,             0.11929,            0.033153,             0.10373,            0.036849,            0.017873,            0.006238,            0.006238,            0.006238
                  21,            0.044025,             0.01234,           0.0021474,             0.68284,             0.13716,             0.10905,            0.032521,             0.10247,            0.034344,            0.017215,             0.00604,             0.00604,             0.00604
