               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15823,            0.010574,            0.036481,           0.0010619,            0.094268,           0.0027357,           0.0005656,             0.15267,            0.013467,             0.03387,            0.070101,           0.0033221,           0.0033221
                   1,             0.12448,            0.011104,            0.016707,             0.57034,            0.033457,            0.018498,           0.0052971,             0.14931,            0.013662,            0.027546,            0.039969,           0.0065237,           0.0065237
                   2,             0.11972,           0.0097575,           0.0055003,              0.6003,            0.060948,            0.027593,           0.0070633,             0.14289,             0.01638,            0.028002,           0.0097051,           0.0095933,           0.0095933
                   3,             0.11044,            0.010387,            0.005223,             0.59967,            0.068012,            0.031586,           0.0076184,             0.13978,            0.018369,            0.026107,            0.009406,            0.009406,            0.009406
                   4,             0.10032,            0.010815,           0.0046315,               0.604,            0.057714,            0.030401,            0.007188,             0.13974,              0.0186,            0.026091,            0.009406,            0.009406,            0.009406
                   5,            0.092038,            0.010651,            0.004057,             0.61895,            0.070255,            0.041933,            0.010494,             0.13904,             0.01973,            0.026559,            0.009208,            0.009208,            0.009208
                   6,            0.085478,            0.010751,           0.0040097,             0.62563,            0.075869,            0.042574,           0.0097163,             0.13899,            0.019035,            0.026006,             0.00901,             0.00901,             0.00901
                   7,            0.081121,            0.010522,           0.0039191,             0.59709,            0.067311,            0.032913,           0.0078841,              0.1426,            0.018962,            0.026639,            0.008812,            0.008812,            0.008812
                   8,            0.077771,            0.010621,           0.0039757,             0.60536,            0.073232,            0.040935,           0.0096947,             0.13848,            0.019302,            0.029569,            0.008614,            0.008614,            0.008614
                   9,            0.073956,            0.010593,           0.0037678,             0.60996,            0.077014,            0.041838,            0.010091,             0.13691,            0.020572,            0.027551,            0.008416,            0.008416,            0.008416
                  10,            0.070629,            0.010547,           0.0032759,             0.62426,            0.091964,            0.051748,            0.012993,             0.13666,            0.020062,             0.02716,            0.008218,            0.008218,            0.008218
                  11,            0.068702,            0.010072,           0.0033252,             0.58922,            0.067219,            0.039248,            0.010457,             0.14153,            0.018923,              0.0275,             0.00802,             0.00802,             0.00802
                  12,            0.065313,           0.0098424,           0.0032237,             0.62048,            0.075688,            0.048139,            0.012597,             0.14123,            0.018923,            0.027978,            0.007822,            0.007822,            0.007822
                  13,            0.061989,            0.010153,           0.0030343,             0.60441,            0.083041,            0.042563,            0.010333,             0.13856,             0.01958,            0.027717,            0.007624,            0.007624,            0.007624
                  14,            0.061422,            0.010155,            0.003232,             0.61479,            0.085633,            0.055198,            0.014609,              0.1368,             0.02003,            0.024724,            0.007426,            0.007426,            0.007426
                  15,            0.059145,           0.0096695,           0.0027183,             0.59268,            0.078219,            0.041278,             0.01006,             0.13799,            0.020078,             0.02644,            0.007228,            0.007228,            0.007228
                  16,            0.059149,           0.0097116,           0.0029322,             0.62149,            0.086458,            0.054652,            0.013895,             0.13614,            0.020983,            0.026361,             0.00703,             0.00703,             0.00703
                  17,             0.05657,           0.0099126,           0.0030517,             0.64767,            0.094065,            0.066023,            0.018267,             0.13521,            0.021075,            0.025901,            0.006832,            0.006832,            0.006832
                  18,             0.05441,            0.010049,           0.0029327,             0.61774,             0.08757,            0.049433,            0.013422,             0.13685,            0.021059,            0.025576,            0.006634,            0.006634,            0.006634
                  19,            0.053717,           0.0094969,           0.0027472,             0.63635,            0.088311,            0.055403,            0.014131,             0.13597,            0.021131,            0.025042,            0.006436,            0.006436,            0.006436
                  20,            0.052382,           0.0096228,           0.0026975,              0.6001,            0.069044,            0.041017,            0.011253,               0.138,            0.021053,            0.025669,            0.006238,            0.006238,            0.006238
                  21,            0.052189,            0.009702,           0.0024823,             0.61322,            0.081524,            0.049325,            0.013053,             0.13407,            0.021769,            0.024563,             0.00604,             0.00604,             0.00604
                  22,              0.0517,            0.009467,           0.0025422,             0.62089,            0.078701,            0.051056,            0.013612,             0.13652,            0.021776,            0.025474,            0.005842,            0.005842,            0.005842
                  23,            0.049193,           0.0097234,           0.0026392,              0.6297,            0.091522,            0.060447,            0.016514,             0.13523,            0.021603,            0.026213,            0.005644,            0.005644,            0.005644
                  24,            0.047915,           0.0096138,           0.0024501,             0.62443,            0.083756,            0.052275,            0.013452,             0.13621,            0.021083,               0.026,            0.005446,            0.005446,            0.005446
                  25,            0.046135,            0.009106,           0.0025649,             0.63425,            0.080995,            0.054453,            0.014693,             0.13795,            0.021069,            0.025358,            0.005248,            0.005248,            0.005248
                  26,            0.046014,           0.0091844,           0.0027521,             0.62852,            0.071581,            0.053534,             0.01452,             0.13755,             0.02141,            0.027208,             0.00505,             0.00505,             0.00505
                  27,             0.04479,           0.0091107,            0.002169,             0.61814,            0.082124,            0.050827,            0.013373,             0.13581,            0.021743,             0.02774,            0.004852,            0.004852,            0.004852
                  28,            0.043149,           0.0090804,           0.0022701,             0.62918,            0.079552,            0.054767,             0.01435,             0.13614,            0.022331,            0.028643,            0.004654,            0.004654,            0.004654
                  29,            0.042685,           0.0089984,           0.0021357,             0.66268,             0.07418,            0.060271,            0.017031,             0.13656,            0.023077,            0.028597,            0.004456,            0.004456,            0.004456
                  30,             0.04089,           0.0089717,           0.0021837,             0.66183,            0.075899,            0.065327,            0.018151,             0.13661,            0.022464,            0.027974,            0.004258,            0.004258,            0.004258
                  31,            0.039894,           0.0090099,           0.0019974,             0.65965,            0.079072,            0.060599,            0.016528,              0.1355,            0.022628,            0.028386,             0.00406,             0.00406,             0.00406
                  32,            0.039868,           0.0088751,           0.0020133,             0.66988,            0.075395,            0.068835,            0.020209,             0.13537,            0.023124,            0.027934,            0.003862,            0.003862,            0.003862
                  33,            0.038828,           0.0087405,           0.0019071,             0.67379,            0.078644,             0.06947,            0.020636,             0.13608,             0.02262,            0.028097,            0.003664,            0.003664,            0.003664
                  34,            0.037536,           0.0086801,           0.0022826,             0.69681,            0.076221,            0.071863,            0.021342,             0.13625,            0.023097,            0.027561,            0.003466,            0.003466,            0.003466
                  35,            0.036454,           0.0083327,           0.0016416,              0.6855,            0.086624,            0.079233,            0.023684,             0.13398,            0.023292,             0.02753,            0.003268,            0.003268,            0.003268
                  36,            0.035469,           0.0085838,           0.0016581,             0.67504,             0.08776,            0.075141,            0.022907,             0.13532,            0.022076,            0.027746,             0.00307,             0.00307,             0.00307
                  37,            0.034595,            0.008491,           0.0016917,             0.67497,            0.085755,             0.07526,            0.022688,             0.13428,            0.023156,            0.027359,            0.002872,            0.002872,            0.002872
                  38,            0.032448,           0.0083872,           0.0017663,             0.65771,            0.079599,            0.068854,            0.018352,             0.13575,            0.022887,            0.028186,            0.002674,            0.002674,            0.002674
                  39,            0.032202,           0.0082045,           0.0016579,             0.65729,            0.092026,            0.072977,            0.019547,             0.13555,            0.022261,            0.028435,            0.002476,            0.002476,            0.002476
                  40,            0.031456,           0.0079121,           0.0019398,             0.67918,            0.083954,            0.079347,            0.022351,             0.13491,            0.023299,            0.028427,            0.002278,            0.002278,            0.002278
                  41,            0.030735,           0.0078948,           0.0014722,             0.69085,            0.081201,            0.077559,            0.023075,             0.13601,            0.023149,              0.0272,             0.00208,             0.00208,             0.00208
                  42,            0.029462,             0.00791,           0.0012498,             0.68116,             0.07863,            0.074122,            0.021193,             0.13591,            0.023448,            0.026859,            0.001882,            0.001882,            0.001882
                  43,            0.028525,           0.0076715,           0.0015693,             0.71312,            0.073291,            0.073506,            0.021323,             0.13657,            0.023841,            0.026766,            0.001684,            0.001684,            0.001684
                  44,            0.028861,           0.0075385,           0.0014236,             0.70923,            0.078721,            0.075196,            0.022103,             0.13723,             0.02311,            0.026895,            0.001486,            0.001486,            0.001486
                  45,            0.027468,           0.0074467,           0.0015914,             0.68717,            0.082426,            0.076257,             0.02297,             0.13637,             0.02318,            0.027074,            0.001288,            0.001288,            0.001288
                  46,             0.02623,           0.0077268,           0.0013791,              0.7186,            0.080674,             0.07887,            0.023749,             0.13583,            0.023509,            0.026681,             0.00109,             0.00109,             0.00109
                  47,            0.026123,           0.0076825,           0.0015148,             0.69925,            0.076234,            0.070474,            0.021393,             0.13709,            0.023053,            0.026562,            0.000892,            0.000892,            0.000892
                  48,            0.025644,           0.0073957,           0.0012665,             0.69532,            0.081197,            0.077029,            0.022657,             0.13655,            0.023086,            0.026429,            0.000694,            0.000694,            0.000694
                  49,            0.025372,           0.0072158,           0.0013424,             0.70855,            0.083145,            0.079696,            0.023478,             0.13609,             0.02333,            0.026316,            0.000496,            0.000496,            0.000496
