               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.18255,            0.007434,            0.041965,          1.2337e-05,          0.00096115,          6.1891e-06,          1.5588e-06,             0.18879,           0.0068762,            0.044164,            0.070101,           0.0033221,           0.0033221
                   1,             0.16351,           0.0068723,            0.035716,          4.7189e-05,           0.0050343,          2.4511e-05,          5.0703e-06,             0.18064,           0.0056615,            0.058743,            0.039442,           0.0059966,           0.0059966
                   2,             0.13617,            0.010423,             0.02756,             0.50944,          0.00051867,          0.00087336,          0.00016526,             0.16517,           0.0096444,             0.03035,           0.0081229,            0.008011,            0.008011
                   3,             0.12489,             0.01231,            0.019896,             0.33119,            0.003112,           0.0015045,          0.00034634,             0.17878,            0.011759,            0.034889,             0.00703,             0.00703,             0.00703
                   4,             0.11684,            0.012605,           0.0088005,             0.55964,           0.0041494,           0.0023676,          0.00042898,             0.16886,            0.010614,            0.035703,             0.00703,             0.00703,             0.00703
                   5,             0.10881,            0.013134,           0.0045648,             0.59534,            0.020854,            0.013334,           0.0033141,             0.16167,             0.01267,            0.033594,             0.00604,             0.00604,             0.00604
                   6,            0.097929,            0.014298,           0.0041736,             0.55598,            0.018675,            0.011359,           0.0031136,             0.15973,            0.012282,            0.030601,             0.00505,             0.00505,             0.00505
                   7,            0.088082,            0.014575,           0.0036259,             0.56865,            0.024591,            0.014214,           0.0035213,              0.1607,            0.012486,            0.032185,             0.00406,             0.00406,             0.00406
                   8,            0.079001,            0.015235,           0.0036962,             0.57116,            0.030663,             0.01821,           0.0050543,             0.15852,            0.012938,             0.03404,             0.00307,             0.00307,             0.00307
                   9,            0.069412,            0.015363,           0.0033296,             0.57305,            0.029626,            0.020406,           0.0056225,             0.15896,            0.012854,            0.033105,             0.00208,             0.00208,             0.00208
