               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.18254,           0.0074705,            0.041745,          1.3248e-05,          0.00070181,          6.6387e-06,          6.6387e-07,             0.19531,             0.07055,            0.060066,            0.070101,           0.0033221,           0.0033221
                   1,             0.15862,           0.0077003,            0.033987,          9.9169e-06,          0.00096115,          5.0313e-06,          5.0313e-07,             0.17986,           0.0062854,            0.037482,            0.039442,           0.0059966,           0.0059966
                   2,             0.13297,            0.011102,            0.027438,          5.3328e-05,           0.0082988,          2.7553e-05,          7.0692e-06,             0.18108,            0.056213,            0.039939,           0.0081229,            0.008011,            0.008011
                   3,              0.1239,             0.01232,             0.01986,            0.037089,           0.0054461,           0.0015486,          0.00028665,             0.16823,            0.012421,            0.032832,             0.00703,             0.00703,             0.00703
                   4,             0.11773,            0.012204,           0.0087296,            0.069846,            0.014737,           0.0084351,           0.0022395,             0.16274,            0.012273,            0.032067,             0.00703,             0.00703,             0.00703
                   5,             0.10854,            0.013262,           0.0050369,            0.053486,           0.0085581,           0.0056827,           0.0016202,             0.16588,            0.012053,            0.041946,             0.00604,             0.00604,             0.00604
                   6,            0.097937,            0.013905,           0.0040211,             0.56523,             0.01437,           0.0069719,           0.0017302,             0.16672,            0.011266,            0.037427,             0.00505,             0.00505,             0.00505
                   7,            0.088541,            0.014069,           0.0034808,             0.56958,            0.026666,            0.013073,           0.0029852,             0.16276,            0.011358,            0.035344,             0.00406,             0.00406,             0.00406
                   8,            0.080019,             0.01479,           0.0035687,             0.57013,            0.031777,            0.021237,           0.0056261,             0.15841,            0.012455,            0.031157,             0.00307,             0.00307,             0.00307
                   9,            0.071626,            0.014911,           0.0033233,             0.56041,             0.03482,            0.020237,           0.0056536,              0.1585,            0.012332,            0.032739,             0.00208,             0.00208,             0.00208
