               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.18215,           0.0073296,            0.041637,          1.9092e-05,           0.0012205,          1.0505e-05,          1.3244e-06,             0.18211,           0.0067749,            0.046526,            0.070101,           0.0033221,           0.0033221
                   1,             0.16685,           0.0061196,            0.035519,          1.0492e-05,          0.00096115,          5.3204e-06,          9.3771e-07,             0.17216,           0.0062852,            0.037902,            0.039442,           0.0059966,           0.0059966
                   2,             0.14927,           0.0071316,            0.027408,          1.3704e-05,           0.0011443,          6.8956e-06,          1.1761e-06,             0.16532,           0.0063943,            0.038381,           0.0081229,            0.008011,            0.008011
                   3,              0.1367,           0.0088974,            0.018585,           0.0001254,            0.011762,          6.4485e-05,          1.8543e-05,             0.17174,             0.10629,             0.17936,             0.00703,             0.00703,             0.00703
                   4,             0.12701,            0.010022,           0.0089629,            0.012362,           0.0065142,           0.0014628,          0.00039921,             0.16189,             0.01625,            0.040369,             0.00703,             0.00703,             0.00703
                   5,             0.11687,            0.011327,           0.0042988,            0.042452,            0.011075,           0.0035815,          0.00083271,             0.15986,            0.010408,            0.032986,             0.00604,             0.00604,             0.00604
                   6,             0.10886,            0.011611,            0.003455,             0.55499,              0.0191,           0.0090014,           0.0022904,             0.15956,             0.01098,            0.030823,             0.00505,             0.00505,             0.00505
                   7,            0.099255,            0.012284,           0.0032404,             0.55415,            0.020259,           0.0074048,           0.0017291,             0.16231,            0.010074,            0.031653,             0.00406,             0.00406,             0.00406
                   8,            0.089195,            0.013022,           0.0031218,             0.56567,            0.023616,            0.010454,           0.0026176,             0.16057,            0.011123,            0.030376,             0.00307,             0.00307,             0.00307
                   9,            0.080095,            0.013031,           0.0026526,             0.58438,            0.029138,            0.015075,           0.0040976,             0.15921,            0.010224,            0.029611,             0.00208,             0.00208,             0.00208
